,Date,Team 1 ID,Team 2 ID,winner
17401,2016Q3,4674,4559,4674
19860,2016Q3,5974,6673,6673
19864,2016Q3,6665,5310,6665
19865,2016Q3,5995,5395,5995
19866,2016Q3,5395,5995,5995
19867,2016Q3,5310,6665,6665
19868,2016Q3,4991,6665,6665
19869,2016Q3,7106,6211,6211
19870,2016Q3,6301,6736,6736
19871,2016Q3,6665,4991,4991
19859,2016Q3,5974,6673,6673
19872,2016Q3,4608,4411,4411
19874,2016Q3,6211,7106,6211
19875,2016Q3,7010,5974,7010
19876,2016Q3,5974,7010,7010
19877,2016Q3,5005,6211,5005
19878,2016Q3,6736,6301,6736
19879,2016Q3,6211,5005,6211
19880,2016Q3,6615,6211,6615
19881,2016Q3,6615,6211,6615
19884,2016Q3,5973,6680,5973
19873,2016Q3,4411,4608,4608
19885,2016Q3,5973,6680,6680
19858,2016Q3,7010,7105,7010
19856,2016Q3,6137,6707,6137
19819,2016Q3,6673,6736,6673
19820,2016Q3,7010,6615,6615
19821,2016Q3,6211,6301,6211
19823,2016Q3,6615,7010,7010
19825,2016Q3,6301,6211,6211
19826,2016Q3,6680,5005,5005
19827,2016Q3,6736,6673,6673
19828,2016Q3,7175,5988,7175
19829,2016Q3,7175,5988,7175
19857,2016Q3,7010,7105,7010
19830,2016Q3,5973,7106,5973
19835,2016Q3,6680,6301,6680
19836,2016Q3,6680,6301,6680
19839,2016Q3,6211,6290,6211
19840,2016Q3,6211,6290,6211
19851,2016Q3,6724,7175,7175
19852,2016Q3,6724,7175,7175
19853,2016Q3,6615,5005,6615
19854,2016Q3,6615,5005,6615
19855,2016Q3,6137,6707,6137
19831,2016Q3,5973,7106,5973
19818,2016Q3,4411,6665,4411
19886,2016Q3,5973,6680,6680
19893,2016Q3,6137,6673,6137
19961,2016Q3,7010,6211,7010
19962,2016Q3,7010,6211,7010
19966,2016Q3,6211,7205,6211
19967,2016Q3,6211,7205,6211
19968,2016Q3,6667,5422,5422
19969,2016Q3,6667,5422,5422
19970,2016Q3,6615,5996,5996
19971,2016Q3,6615,5996,6615
19972,2016Q3,6615,5996,6615
19960,2016Q3,6902,6832,6902
19976,2016Q3,7175,5991,5991
19978,2016Q3,7175,5991,5991
19979,2016Q3,7010,6736,7010
19980,2016Q3,7010,6736,7010
19984,2016Q3,6137,6301,6137
19985,2016Q3,6137,6301,6137
19986,2016Q3,7010,5005,7010
19987,2016Q3,7010,5005,7010
19991,2016Q3,6651,5991,5991
19992,2016Q3,6651,5991,5991
19977,2016Q3,7175,5991,7175
19892,2016Q3,6137,6673,6137
19959,2016Q3,6902,6832,6902
19941,2016Q3,6211,6707,6211
19900,2016Q3,6137,7220,6137
19901,2016Q3,6137,7220,6137
19902,2016Q3,5996,7010,7010
19903,2016Q3,5996,7010,7010
19910,2016Q3,5378,7175,5378
19912,2016Q3,5752,6667,5752
19914,2016Q3,6211,6680,6211
19915,2016Q3,5378,6651,5378
19916,2016Q3,5422,6667,6667
19942,2016Q3,6211,6707,6211
19917,2016Q3,5973,7106,5973
19919,2016Q3,5974,6673,5974
19920,2016Q3,5005,6137,6137
19922,2016Q3,6137,5005,6137
19923,2016Q3,7106,5973,5973
19924,2016Q3,6673,5974,6673
19925,2016Q3,5752,5988,5752
19926,2016Q3,7175,5991,7175
19932,2016Q3,6902,4602,4602
19933,2016Q3,6902,4602,6902
19918,2016Q3,6680,6211,6680
19816,2016Q3,5005,6680,6680
19814,2016Q3,6665,4411,6665
19811,2016Q3,4991,5422,5422
19593,2016Q3,6615,6301,6615
19594,2016Q3,6680,6673,6673
19596,2016Q3,5995,6667,5995
19597,2016Q3,4608,6665,6665
19598,2016Q3,6301,6615,6615
19599,2016Q3,4411,6902,4411
19606,2016Q3,6667,5310,6667
19607,2016Q3,6667,5310,6667
19616,2016Q3,5995,6134,5995
19592,2016Q3,5378,6773,6773
19617,2016Q3,5995,6134,5995
19619,2016Q3,4501,6902,6902
19620,2016Q3,4501,6902,4501
19629,2016Q3,6211,4773,4773
19630,2016Q3,6211,4773,6211
19631,2016Q3,5991,6773,5991
19632,2016Q3,5991,6773,5991
19633,2016Q3,5988,6667,6667
19634,2016Q3,5988,6667,5988
19635,2016Q3,5988,6667,5988
19618,2016Q3,4501,6902,4501
19636,2016Q3,4863,6665,6665
19591,2016Q3,6673,6680,6673
19588,2016Q3,5991,5378,5991
19514,2016Q3,6667,5395,6667
19515,2016Q3,5395,6667,6667
19535,2016Q3,5395,4494,4494
19536,2016Q3,4494,5395,4494
19537,2016Q3,5991,5752,5752
19538,2016Q3,6667,4991,4991
19542,2016Q3,6665,7175,7175
19543,2016Q3,4863,7175,7175
19550,2016Q3,6667,5988,6667
19589,2016Q3,5752,6773,5752
19551,2016Q3,6902,5422,6902
19556,2016Q3,4411,5310,4411
19557,2016Q3,5995,6474,5995
19563,2016Q3,6902,6944,6902
19564,2016Q3,6902,6944,6902
19576,2016Q3,5995,6851,5995
19577,2016Q3,5995,6851,5995
19578,2016Q3,6667,7197,7197
19579,2016Q3,6667,7197,6667
19580,2016Q3,6667,7197,6667
19553,2016Q3,4991,6667,6667
19637,2016Q3,4863,6665,4863
19638,2016Q3,4863,6665,6665
19644,2016Q3,5422,6902,5422
19753,2016Q3,5395,7175,5395
19754,2016Q3,5995,5422,5995
19755,2016Q3,5422,5995,5422
19756,2016Q3,4494,6667,4494
19758,2016Q3,5378,4991,4991
19760,2016Q3,6667,4494,4494
19769,2016Q3,4991,5378,4991
19770,2016Q3,6211,6736,6211
19771,2016Q3,6211,6736,6211
19752,2016Q3,7175,5395,7175
19782,2016Q3,7175,5422,5422
19784,2016Q3,6615,6673,6615
19785,2016Q3,6615,6673,6615
19788,2016Q3,5005,7010,7010
19789,2016Q3,5005,7010,7010
19799,2016Q3,7175,4602,4602
19800,2016Q3,7175,4602,4602
19804,2016Q3,5991,4494,4494
19806,2016Q3,4494,5991,4494
19810,2016Q3,5422,4991,5422
19783,2016Q3,7175,5422,5422
19735,2016Q3,6386,6301,6301
19732,2016Q3,5752,4411,4411
19731,2016Q3,5752,4411,4411
19645,2016Q3,5422,6902,5422
19649,2016Q3,7217,6301,6301
19663,2016Q3,7175,5422,5422
19664,2016Q3,7175,5422,7175
19665,2016Q3,7175,5422,5422
19671,2016Q3,6137,4773,6137
19672,2016Q3,6137,4773,6137
19675,2016Q3,5995,5991,5995
19676,2016Q3,5995,5991,5995
19679,2016Q3,4411,6665,6665
19680,2016Q3,4411,6665,4411
19681,2016Q3,4411,6665,4411
19686,2016Q3,5752,5988,5752
19687,2016Q3,5752,5988,5988
19688,2016Q3,5752,5988,5752
19693,2016Q3,4773,6301,6301
19699,2016Q3,7010,6301,7010
19720,2016Q3,5995,5422,5995
19721,2016Q3,5995,5422,5995
19726,2016Q3,4411,5995,4411
19727,2016Q3,4411,5995,4411
20005,2016Q3,7010,6707,7010
19513,2016Q3,4494,6902,6902
20006,2016Q3,7010,6707,7010
20014,2016Q3,6137,6615,6615
20341,2016Q3,4608,4991,4991
20348,2016Q3,7124,7175,7124
20349,2016Q3,7124,7175,7175
20357,2016Q3,6248,6211,6211
20358,2016Q3,6248,6211,6211
20359,2016Q3,6211,6773,6211
20360,2016Q3,6211,6773,6773
20361,2016Q3,6211,6773,6773
20362,2016Q3,5991,4494,5991
20339,2016Q3,6301,6137,6137
20363,2016Q3,5991,4494,5991
20375,2016Q3,5991,5395,5991
20376,2016Q3,6665,5422,6665
20378,2016Q3,5422,6665,6665
20379,2016Q3,5378,5988,5378
20381,2016Q3,5395,5991,5991
20382,2016Q3,5988,5378,5988
20383,2016Q3,6673,5005,6673
20385,2016Q3,6301,6680,6680
20387,2016Q3,6680,6301,6680
20364,2016Q3,5991,4494,5991
20388,2016Q3,5005,6673,6673
20338,2016Q3,6137,6301,6137
20335,2016Q3,5422,6667,6667
20260,2016Q3,6134,5378,5378
20263,2016Q3,6665,5422,5422
20264,2016Q3,6665,5422,6665
20265,2016Q3,6665,5422,5422
20270,2016Q3,6673,5752,5752
20271,2016Q3,5752,6673,5752
20275,2016Q3,5991,5378,5378
20301,2016Q3,7010,6137,6137
20302,2016Q3,7010,6137,6137
20337,2016Q3,4991,4608,4991
20305,2016Q3,6211,6353,6211
20322,2016Q3,6736,6137,6137
20323,2016Q3,6736,6137,6137
20324,2016Q3,6902,4494,6902
20325,2016Q3,6902,4494,4494
20326,2016Q3,6902,4494,4494
20327,2016Q3,6902,4494,4494
20330,2016Q3,6386,5752,5752
20331,2016Q3,6667,5422,6667
20333,2016Q3,5752,6386,5752
20306,2016Q3,6211,6353,6211
20259,2016Q3,6134,5378,5378
20398,2016Q3,5752,5996,5752
20402,2016Q3,5422,7175,5422
20467,2016Q3,5005,6386,6386
20471,2016Q3,6736,5752,5752
20473,2016Q3,7106,5974,5974
20474,2016Q3,6736,6137,6137
20475,2016Q3,5974,7106,5974
20476,2016Q3,6137,6736,6137
20477,2016Q3,5752,6736,5752
20489,2016Q3,4674,6134,4674
20490,2016Q3,4674,6134,6134
20466,2016Q3,6386,5005,5005
20491,2016Q3,4674,6134,6134
20540,2016Q3,6902,5988,6902
20552,2016Q3,4991,6615,4991
20554,2016Q3,6137,6665,6137
20560,2016Q3,4608,5973,4608
20561,2016Q3,6137,6615,6137
20562,2016Q3,5995,5973,5973
20563,2016Q3,5378,4608,4608
20564,2016Q3,5378,4991,5378
20565,2016Q3,5995,6665,6665
20539,2016Q3,6902,5988,6902
20399,2016Q3,5752,5996,5752
20455,2016Q3,5422,6902,5422
20438,2016Q3,5974,6736,6736
20403,2016Q3,7175,5422,5422
20408,2016Q3,5378,6665,5378
20409,2016Q3,4688,7157,4688
20410,2016Q3,6665,5378,5378
20412,2016Q3,7106,6137,6137
20413,2016Q3,4674,7018,4674
20416,2016Q3,5974,5005,5974
20417,2016Q3,6137,7106,6137
20418,2016Q3,5005,5974,5005
20454,2016Q3,5422,6902,5422
20419,2016Q3,5973,5005,5973
20422,2016Q3,6386,6615,6615
20423,2016Q3,5005,5973,5973
20424,2016Q3,6680,7010,7010
20425,2016Q3,6680,7010,7010
20426,2016Q3,6680,7010,7010
20434,2016Q3,5752,6615,6615
20435,2016Q3,5752,6615,5752
20436,2016Q3,5752,6615,6615
20437,2016Q3,5974,6736,6736
20421,2016Q3,6615,6386,6615
20255,2016Q3,5991,4688,5991
20254,2016Q3,5991,4688,5991
20253,2016Q3,5991,4688,4688
20069,2016Q3,4494,4608,4608
20070,2016Q3,6665,5395,5395
20074,2016Q3,7010,4773,7010
20075,2016Q3,7010,4773,4773
20076,2016Q3,6902,7175,6902
20077,2016Q3,6902,7175,7175
20078,2016Q3,6667,6902,6667
20079,2016Q3,6667,6902,6902
20080,2016Q3,6667,6902,6902
20066,2016Q3,5995,4411,4411
20087,2016Q3,5991,5260,5991
20095,2016Q3,6615,7010,6615
20096,2016Q3,6615,7010,7010
20097,2016Q3,6615,7010,6615
20104,2016Q3,7175,6651,7175
20105,2016Q3,7175,6651,7175
20106,2016Q3,7175,5995,7175
20112,2016Q3,5310,5378,5378
20113,2016Q3,5988,5991,5991
20114,2016Q3,5991,5988,5991
20088,2016Q3,5991,5260,5991
20118,2016Q3,5378,5310,5310
20065,2016Q3,5395,6665,6665
20061,2016Q3,4411,5995,4411
20016,2016Q3,4688,6902,6902
20017,2016Q3,4688,6902,6902
20027,2016Q3,5752,5378,5378
20028,2016Q3,5752,5378,5378
20030,2016Q3,5378,5422,5378
20031,2016Q3,5378,5422,5422
20032,2016Q3,5378,5422,5378
20033,2016Q3,5752,5991,5752
20034,2016Q3,5752,5991,5991
20063,2016Q3,4608,4494,4494
20035,2016Q3,5752,5991,5752
20037,2016Q3,6680,6673,6673
20045,2016Q3,5991,6368,5991
20046,2016Q3,5991,6368,5991
20052,2016Q3,7010,6673,7010
20053,2016Q3,7010,6673,6673
20054,2016Q3,7010,6673,7010
20058,2016Q3,6615,7010,7010
20059,2016Q3,6615,7010,6615
20060,2016Q3,6615,7010,7010
20036,2016Q3,6680,6673,6673
20119,2016Q3,5995,7175,5995
20124,2016Q3,6680,5752,5752
20127,2016Q3,5974,6137,6137
20185,2016Q3,6680,6137,6137
20186,2016Q3,5005,6736,6736
20187,2016Q3,5973,5974,5973
20188,2016Q3,6615,6680,6615
20193,2016Q3,6665,5455,6665
20194,2016Q3,6665,5455,6665
20195,2016Q3,5378,4781,5378
20196,2016Q3,5378,4781,5378
20201,2016Q3,6902,6724,6902
20184,2016Q3,6680,6615,6615
20202,2016Q3,6902,6724,6902
20211,2016Q3,7010,7205,7010
20228,2016Q3,6736,6615,6615
20229,2016Q3,6211,5258,6211
20231,2016Q3,6615,6736,6615
20236,2016Q3,7010,6137,7010
20239,2016Q3,6137,7010,7010
20248,2016Q3,5974,5752,5752
20249,2016Q3,5974,5752,5752
20252,2016Q3,5991,4688,5991
20210,2016Q3,7010,7205,7010
20183,2016Q3,5974,5973,5974
20182,2016Q3,6736,5005,5005
20180,2016Q3,6137,6680,6137
20128,2016Q3,6137,5974,6137
20130,2016Q3,6673,5973,6673
20132,2016Q3,5752,6301,5752
20133,2016Q3,5752,6680,6680
20134,2016Q3,5973,6673,6673
20135,2016Q3,6301,5752,5752
20136,2016Q3,6137,7205,6137
20137,2016Q3,6137,7205,6137
20141,2016Q3,4688,7175,4688
20142,2016Q3,4688,7175,7175
20147,2016Q3,6902,4688,6902
20148,2016Q3,6902,4688,6902
20155,2016Q3,7124,6902,6902
20156,2016Q3,7124,6902,7124
20161,2016Q3,6665,5422,5422
20162,2016Q3,6665,5422,6665
20163,2016Q3,6665,5422,5422
20170,2016Q3,6665,4602,6665
20174,2016Q3,7024,6211,6211
20175,2016Q3,5378,4608,4608
20179,2016Q3,4608,5378,5378
20013,2016Q3,6137,6615,6137
19512,2016Q3,4494,6902,4494
20015,2016Q3,6137,6615,6615
19491,2016Q3,6902,6667,6667
18715,2016Q3,6673,6736,6673
18716,2016Q3,6673,6736,6673
18717,2016Q3,5974,6615,6615
18718,2016Q3,5974,6615,6615
18719,2016Q3,7059,6667,7059
18720,2016Q3,7059,6667,7059
18731,2016Q3,6615,5005,6615
18732,2016Q3,5973,5752,5752
18733,2016Q3,4411,7059,4411
18714,2016Q3,6673,6736,6736
18734,2016Q3,5378,6667,6667
18736,2016Q3,5752,5973,5752
18737,2016Q3,5005,6615,6615
18738,2016Q3,7059,4411,4411
18743,2016Q3,4494,5988,5988
18744,2016Q3,4494,5988,5988
18745,2016Q3,7157,7020,7157
18746,2016Q3,7157,7020,7020
18747,2016Q3,7157,7020,7157
18752,2016Q3,6290,6680,6290
18735,2016Q3,6667,5378,6667
18753,2016Q3,6290,6680,6290
18713,2016Q3,5991,7020,5991
18711,2016Q3,5991,7020,7020
18417,2016Q3,6902,7059,7059
18440,2016Q3,5005,6792,6792
18441,2016Q3,5005,6792,5005
18442,2016Q3,5005,6792,6792
18449,2016Q3,5005,6981,6981
18450,2016Q3,5005,6981,6981
18463,2016Q3,5005,7105,5005
18464,2016Q3,5005,7105,7105
18465,2016Q3,5005,7105,5005
18712,2016Q3,5991,7020,5991
18557,2016Q3,6290,6425,6290
18566,2016Q3,6736,6290,6736
18567,2016Q3,6736,6290,6290
18568,2016Q3,6736,6290,6290
18662,2016Q3,5378,6902,5378
18663,2016Q3,5378,6902,5378
18695,2016Q3,4411,5378,5378
18696,2016Q3,7059,6667,6667
18697,2016Q3,5378,4411,4411
18698,2016Q3,6667,7059,6667
18558,2016Q3,6290,6425,6290
18416,2016Q3,6902,7059,6902
18760,2016Q3,5422,5991,5422
18767,2016Q3,6290,6680,6680
18856,2016Q3,5005,7010,7010
18857,2016Q3,6615,5973,5973
18858,2016Q3,5973,6615,5973
18859,2016Q3,7010,5005,5005
18904,2016Q3,6673,5752,5752
18905,2016Q3,6673,5752,6673
18906,2016Q3,6673,5752,5752
18917,2016Q3,5752,6615,5752
18918,2016Q3,6615,5752,5752
18847,2016Q3,6665,4608,4608
18928,2016Q3,5991,5310,5991
18930,2016Q3,5752,6615,6615
18931,2016Q3,5752,6615,5752
18932,2016Q3,5752,6615,6615
