year,mil_km,cdo_acc,cdo_fat,car_acc,car_fat,mn_acc,mn_fat
1946,600,9,38,7,16,370,378
1947,571,10,99,9,20,298,304
1948,589,10,48,11,20,273,273
1949,613,4,5,5,5,278,281
1950,618,5,13,14,19,247,250
1951,605,7,47,7,8,231,233
1952,605,7,120,12,13,249,254
1953,610,6,18,12,19,278,286
1954,608,1,1,10,11,215,217
1955,584,8,48,11,11,246,246
1956,605,4,4,11,12,228,228
1957,615,4,94,11,15,224,224
1958,605,5,18,9,13,169,169
1959,597,3,4,7,7,202,204
1960,603,5,10,7,17,183,184
1961,600,8,17,11,22,205,206
1962,578,2,21,8,11,160,165
1963,560,5,9,13,14,151,154
1964,541,6,11,11,14,123,128
1965,500,5,7,9,11,133,134
1966,478,1,2,8,10,102,103
1967,459,6,72,5,6,108,111
1968,449,3,6,13,31,84,87
1969,447,7,17,6,6,102,106
1970,452,2,3,11,12,115,118
1971,444,7,11,3,3,101,106
1972,431,2,7,7,11,71,73
1973,433,3,16,1,1,73,73
1974,452,2,2,1,1,65,66
1975,436,5,11,2,3,62,64
1976,426,2,3,12,14,70,71
1977,425,1,2,8,9,63,66
1978,430,2,4,4,5,84,86
1979,426,3,13,3,6,76,79
1980,430,2,3,2,3,55,56
1981,417,2,5,2,2,63,63
1982,372,2,2,3,3,40,40
1983,401,2,2,7,7,50,53
1984,389,5,22,3,5,42,43
1985,418,0,0,5,6,59,62
1986,414,2,2,13,23,40,40
1987,397,1,4,6,8,56,61
1988,443,2,36,4,4,50,50
1989,436,4,10,4,6,48,49
1990,431,1,1,2,2,54,58
1991,439,2,6,6,6,60,62
1992,430,1,1,4,7,29,31
1993,425,0,0,4,4,28,29
1994,415,2,7,4,4,20,20
1995,423,1,1,2,3,18,18
1996,437,2,2,2,3,16,16
1997,463,1,7,1,1,28,31
1998,487,0,0,4,4,31,31
1999,505,1,31,2,2,25,25
2000,503,1,4,3,3,18,18
2001,508,0,0,4,13,23,23
2002,516,1,7,3,3,30,30
2003,529,0,0,3,5,.,.
