Y,X
65.5841880342,6.1394688645
65.5555555556,8.8511904762
60.1166666667,10.6326617827
38.2,19.7277777778
28.2722222222,23.2722222222
28.8507936508,21.7625
31.8333333333,20.05
29.8388888889,21.6777777778
32.7015873016,19.1055555555
63.928021978,3.3785714286
65.6185541311,2.578968254
63.6978105228,2.6888888889
66.3205357143,6.1845238095
63.3333333333,9.7099664225
54.5055555556,12.9777777778
34.3297619048,20.3535714286
16.9833333333,30.1833333333
18.8722222222,27.3380952381
25.7555555556,20.8888888889
28.7416666667,18.319047619
36.4166666667,13.9666666667
45.003968254,11.6297619048
62.8111111111,5.5888888889
66.028021978,5.1007936508
64.4115079365,4.7055555556
64.9847680098,4.1944444444
66.2972832723,5.7696581197
60.7111111111,9.746031746
40.3638583638,14.3856837607
27.178968254,20.4253968254
21.326984127,22.7083333333
18.95,25.3523809524
22.2011904762,21.9023809524
59.15,4.9944444444
64.8924603175,5.2
64.8408730159,5.0961843712
65.1848373848,4.275
67.0133394383,5.9896825397
65.246031746,9.7055250305
59.8777777778,11.8118797869
44.1329059829,14.9747252747
26.3738095238,25.92002442
14.5551587302,30.8369047619
13.3484126984,32.2830586081
17.6118055556,27.3981150794
37.9829365079,15.7515873016
51.6158730159,10.6726495727
65.2361111111,6.4388888889
63.7181051587,5.8719742064
63.0901098901,4.7611111111
64.4763888889,4.7722222222
64.2055860806,4.7777777778
65.2421550672,3.4111111111
63.7256105006,5.8444444444
51.7555555556,11.7722222222
41.2055555556,14.4277777778
27.6226190476,19.2257936508
24.2523809524,22.5626984127
24.1777777778,20.7944444445
37.5805555556,13.2111111111
49.8309523809,9.3222222222
50.4777777778,9.4833333333
56.2611111111,7.8777777778
64.2166666667,5.7726190476
63.6353174603,4.05
65.755952381,4.75
65.9410714286,3.7547619048
64.6678571429,3.8944444444
67.0815781441,5.4158730159
20.2777777778,27.0722222222
29.3773809524,19.5134920635
23.9527777778,21.2507936508
23.8535714286,23.3736607143
65.3960927961,3.8833333333
67.4869047619,4.3527777778
67.3198523698,4.2333333333
65.6469877345,3.5816239316
66.5670940171,6.1388888889
62.2555555556,10.8238455988
45.2,14.7277777778
29.8833333333,20.7611111111
20.9261904762,27.4964285714
12.1277777778,30.651984127
18.9472222222,25.0246031746
46.9464285714,12.0833333333
61.9928571429,4.7607142857
66.7222222222,5.0063492063
66.6035714286,4.4277777778
67.3977564103,3.9824404762
67.75752442,6.4609737485
63.1555555556,11.1771825397
60.2444444444,11.8694444445
40.2666666667,16.0094017094
31.85,20.3222222222
34.6777777778,16.2
51.753968254,9.5111111111
