network,content_id,genre_id,weekday_id,stratified_hour_id,y,n,leave_out_set
0,25,7,3,5,34,223,0
0,25,7,3,5,33,213,0
0,42,2,4,5,16,161,0
0,33,7,4,5,19,153,0
0,25,7,5,5,24,161,0
0,41,7,5,5,18,129,0
0,37,5,5,3,20,129,0
0,37,5,5,3,4,61,0
0,7,13,6,1,122,1851,0
0,12,14,6,1,402,5127,0
0,14,13,6,1,122,1851,0
0,13,14,6,5,402,5127,0
0,2,5,6,5,99,1474,0
0,42,2,6,5,60,1094,0
0,20,5,6,5,51,985,0
0,36,5,6,5,38,635,0
0,46,7,0,5,112,1082,0
0,41,7,0,5,110,690,0
0,43,10,1,5,110,755,0
0,38,2,1,5,60,710,0
0,40,2,1,5,45,451,0
0,22,8,2,5,216,1427,0
0,47,7,2,5,167,1387,0
0,22,8,3,5,233,1559,0
0,33,7,4,5,49,460,0
0,33,7,4,5,43,403,0
0,37,14,5,3,415,4714,0
0,37,13,5,3,129,1490,0
0,7,13,6,0,105,1202,0
0,12,14,6,0,457,5419,0
0,14,13,6,0,131,1710,0
0,10,14,6,1,457,5419,0
0,13,14,6,1,457,5419,0
0,2,5,6,5,25,367,0
0,2,5,6,5,41,736,0
0,42,2,6,5,40,725,0
0,20,5,6,5,36,778,0
0,36,5,6,5,30,485,0
0,47,7,0,5,50,415,0
0,41,7,0,5,45,259,0
0,43,10,1,5,104,732,0
0,38,2,1,5,62,687,0
0,40,2,1,5,48,480,0
0,22,8,2,5,211,1277,0
0,47,7,2,5,194,1515,0
0,22,8,3,5,256,1429,0
0,51,3,4,5,55,459,0
0,33,7,4,5,50,416,0
0,47,7,5,5,36,207,0
0,47,7,5,5,38,216,0
0,5,4,5,3,24,142,0
0,37,5,5,3,13,92,0
0,7,13,6,0,143,1637,0
0,14,13,6,0,143,1637,0
0,12,14,6,1,538,6067,0
0,10,14,6,1,538,6067,0
0,13,14,6,1,538,6067,0
0,11,14,6,1,538,6067,0
0,2,5,6,5,32,369,0
0,2,5,6,5,31,435,0
0,42,2,6,5,30,332,0
0,20,5,6,5,25,398,0
0,36,5,6,5,28,346,0
0,46,7,0,5,115,1106,0
0,41,7,0,5,98,665,0
0,43,10,1,5,106,789,0
0,4,9,1,5,0,0,0
0,22,8,2,5,232,1469,0
0,47,7,2,5,191,1622,0
0,22,8,3,5,191,1213,0
0,51,3,4,5,56,447,0
0,33,7,4,5,48,443,0
0,37,5,5,3,21,174,0
0,37,5,5,3,5,75,0
0,2,5,6,5,16,301,0
0,2,5,6,5,30,553,0
0,42,2,6,5,43,696,0
0,20,5,6,5,34,714,0
0,36,5,6,5,33,477,0
0,46,7,0,5,110,1074,0
0,41,7,0,5,97,661,0
0,43,10,1,5,116,754,0
0,38,2,1,5,36,291,0
0,40,2,1,5,23,226,0
0,22,8,2,5,208,1289,0
0,47,7,2,5,192,1678,0
0,22,8,3,5,177,1011,0
0,51,3,4,5,60,448,0
0,33,7,4,5,58,500,0
0,37,5,5,3,28,160,0
0,37,5,5,3,12,71,0
0,36,5,6,5,15,133,0
0,2,5,6,5,17,201,0
0,2,5,6,5,21,237,0
0,42,2,6,5,7,141,0
0,20,5,6,5,17,203,0
0,36,5,6,5,13,172,0
0,46,7,0,5,108,988,0
0,41,7,0,5,99,671,0
0,43,10,1,5,110,779,0
0,38,2,1,5,52,652,0
0,40,2,1,5,41,469,0
0,22,8,2,5,228,1331,0
0,47,7,2,5,210,1746,0
0,22,8,3,5,177,1075,0
0,51,3,4,5,51,399,0
0,33,7,4,5,55,489,0
0,37,5,5,3,13,157,0
0,37,5,5,3,7,76,0
0,2,5,6,5,17,221,0
0,2,5,6,5,26,512,0
0,42,2,6,5,29,631,0
0,20,5,6,5,30,654,0
0,36,5,6,5,26,413,0
0,46,7,0,5,100,941,0
0,41,7,0,5,89,602,0
0,43,10,1,5,91,650,0
0,38,2,1,5,58,616,0
0,40,2,1,5,48,425,0
0,22,8,2,5,207,1257,0
0,47,7,2,5,223,1811,0
0,22,8,3,5,176,1072,0
0,51,3,4,5,50,358,0
0,33,7,4,5,49,381,0
0,26,14,5,5,56,454,0
0,37,5,5,3,17,131,0
0,37,5,5,3,5,74,0
0,26,14,6,0,36,292,0
0,2,5,6,5,18,208,0
0,2,5,6,5,21,455,0
0,42,2,6,5,33,518,0
0,20,5,6,5,26,549,0
0,36,5,6,5,22,362,0
0,46,7,0,5,97,940,0
0,41,7,0,5,95,639,0
0,43,10,1,5,118,762,0
0,38,2,1,5,61,648,0
0,40,2,1,5,55,485,0
0,22,8,2,5,213,1311,0
0,47,7,2,5,238,1879,0
0,22,8,3,5,161,960,0
0,51,3,4,5,51,353,0
0,33,7,4,5,57,452,0
0,26,14,5,5,16,170,0
0,37,5,5,3,19,165,0
