%	Age(Ma)	E (Ma)	U (ppm)	Th (ppm)	4He (nmol/g)	Mass (g)	Ft	Radius (m)	Sm (ppm)
8.34	0.38	3.22	12.37	0.22	3.90	0.75	61.62	292.94
5.60	0.17	29.96	117.58	1.27	2.91	0.72	56.32	333.33
35.80	1.41	0.70	3.10	0.21	19.49	0.74	60.95	8.77
6.93	0.17	30.69	88.97	1.58	5.95	0.81	87.46	231.81
4.96	0.15	7.83	12.27	0.22	18.41	0.75	53.01	116.32
7.87	0.28	6.47	8.93	0.31	5.50	0.80	81.37	273.40
15.93	0.57	2.27	6.07	0.23	16.40	0.70	51.46	23.03
9.55	0.39	6.47	8.93	0.31	5.50	0.65	41.30	273.40
7.47	0.23	47.87	62.88	1.89	2.10	0.74	62.50	342.97
11.95	0.40	25.22	10.00	1.28	3.22	0.71	43.95	193.17
8.27	0.28	18.67	4.62	0.65	4.54	0.71	43.07	342.83
4.84	0.12	17.17	47.98	0.57	18.23	0.76	59.41	101.54
4.08	0.10	16.43	111.46	0.74	15.19	0.77	72.00	178.46
5.03	0.18	4.86	7.60	0.14	14.43	0.74	54.55	159.36
5.55	0.16	10.54	74.16	0.61	15.77	0.71	49.92	130.66
5.71	0.16	10.69	33.97	0.44	15.08	0.76	56.99	57.87
4.05	0.11	33.61	36.98	0.66	15.81	0.71	49.03	73.31
